country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
North America,124725126,,1612592,,120021937,1529,3090597,7892,,,,,,North America,,,,,,
Asia,214494303,19555,1537456,125.0,199126511,17607,13830336,15479,,,,,,Asia,,,,,,
Europe,246578283,18461,2019397,48.0,242121931,24102,2436955,6475,,,,,,Europe,,,,,,
South America,68046073,167,1350933,8.0,66293956,111,401184,10185,,,,,,South America,,,,,,
Oceania,14015805,,26203,,13852354,,137248,55,,,,,,Australia/Oceania,,,,,,
Africa,12796416,12,258590,,12076475,26,461351,548,,,,,,Africa,,,,,,
World,680656727,38195,6805186,181.0,653493870,43375,20357671,40634,87322,8730,,,,All,,,,,,
USA,105394979,,1146735,,102861683,,1386561,2726,314795,3425,1167638933,3487517,334805269,North America,3,292,0.0,,,4141
India,44687820,,530775,,44154254,,2791,,31769,377,919095823,653402,1406631776,Asia,31,2650,2.0,,,2
France,39638159,,165030,,39399753,,73376,869,604383,2516,271490188,4139547,65584518,Europe,2,397,0.0,,,1119
Germany,38210850,,168397,,37749800,3100,292653,,455522,2008,122332384,1458359,83883596,Europe,2,498,1.0,,,3489
Brazil,37076053,,699276,,36249161,,127616,,172164,3247,63776166,296146,215353593,South America,6,308,3.0,,,593
Japan,33260228,8731,72771,50.0,21693335,640,11494122,132,264843,579,95633415,761504,125584838,Asia,4,1726,1.0,70.0,0.4,91525
S. Korea,30555102,,34020,,30350681,,170401,143,595269,663,15804065,307892,51329899,Asia,2,1509,3.0,,,3320
Italy,25603510,,188322,,25267118,,148070,137,424864,3125,268196399,4450449,60262770,Europe,2,320,0.0,,,2457
UK,24370154,,206952,,24102268,2803,60934,,355780,3021,522526476,7628357,68497907,Europe,3,331,0.0,,,890
Russia,22342128,13559,396298,43.0,21677256,8936,268574,,153232,2718,273400000,1875095,145805947,Europe,7,368,1.0,93.0,0.3,1842
Turkey,17042722,,101492,,,,,,199186,1186,162743369,1902052,85561976,Asia,5,843,1.0,,,1819
Spain,13770429,,119479,,13615878,,35072,231,294749,2557,471036328,10082298,46719142,Europe,3,391,0.0,,,751
Vietnam,11526966,4,43186,,10614790,2,868990,3,116489,436,85826548,867342,98953541,Asia,9,2291,1.0,0.04,,8782
Australia,11385534,,19459,,11332576,,33499,27,436750,746,78835048,3024116,26068792,Australia/Oceania,2,1340,0.0,,,1285
Taiwan,10105039,10307,18203,60.0,9803603,12577,283233,,423007,762,30742304,1286903,23888595,Asia,2,1312,1.0,431.0,3.0,11856
Argentina,10044125,,130463,,9909866,,3796,363,218302,2836,35716069,776264,46010234,South America,5,353,1.0,,,83
Netherlands,8598182,,22992,,8560296,432,14894,53,499562,1336,25984435,1509718,17211447,Europe,2,749,1.0,,,865
Iran,7569769,,144878,,7339641,,85250,312,87997,1684,55034937,639771,86022837,Asia,11,594,2.0,,,991
Mexico,7470128,,333096,,6703859,,433173,,56780,2532,19572325,148768,131562772,North America,18,395,7.0,,,3293
Indonesia,6737159,165,160930,2.0,6573185,576,3044,,24136,577,114158919,408975,279134505,Asia,41,1735,2.0,0.6,0.01,11
Poland,6432315,427,118952,,5335940,,977423,696,170439,3152,38309361,1015092,37739785,Europe,6,317,1.0,11.0,,25899
Colombia,6360089,,142629,,6183658,,33802,342,123466,2769,36951507,717327,51512762,South America,8,361,1.0,,,656
Austria,5940935,4129,21922,1.0,5859818,3661,59195,72,655247,2418,211273524,23302116,9066710,Europe,2,414,0.0,455.0,0.1,6529
Greece,5871458,,36185,,5814325,2618,20948,115,569125,3507,102228365,9909078,10316637,Europe,2,285,0.0,,,2031
Portugal,5568084,,26180,,5538074,,3830,61,549090,2582,45980330,4534294,10140570,Europe,2,387,0.0,,,378
Ukraine,5389439,,111235,,5265577,,12627,,124778,2575,32603805,754855,43192122,Europe,8,388,1.0,,,292
Chile,5177770,,64222,,5101501,,12047,83,268972,3336,48501621,2519539,19250195,South America,4,300,0.0,,,626
Malaysia,5043626,,36965,,4997422,,9239,4,152003,1114,68255672,2057067,33181072,Asia,7,898,0.0,,,278
Israel,4801230,,12303,,4781252,,7675,57,514822,1319,41373364,4436346,9326000,Asia,2,758,0.0,,,823
DPRK,4772813,,74,,4772739,,0,,183636,3,,,25990679,Asia,5,351225,,,,
Thailand,4728035,,33911,,4692636,,1488,,67468,484,17270775,246450,70078203,Asia,15,2067,4.0,,,21
Belgium,4727795,,33775,,4661628,558,32392,43,405184,2895,36752058,3149741,11668278,Europe,2,345,0.0,,,2776
Czechia,4614022,137,42465,,4562772,1149,8785,39,429740,3955,57018324,5310559,10736784,Europe,2,253,0.0,13.0,,818
Canada,4591149,,51249,,4506654,1529,33246,99,119597,1335,66343123,1728207,38388419,North America,8,749,1.0,,,866
Peru,4486832,167,219493,8.0,4265284,111,2055,33,133203,6516,38089514,1130783,33684208,South America,8,153,1.0,5.0,0.2,61
Switzerland,4391007,,14452,,4373026,,3529,39,500477,1647,23833472,2716487,8773637,Europe,2,607,0.0,,,402
Philippines,4077002,144,66153,10.0,4001906,241,8943,162,36237,588,34637220,307862,112508994,Asia,28,1701,3.0,1.0,0.09,79
South Africa,4064889,,102595,,3912506,,49788,192,66905,1689,26795090,441027,60756135,Africa,15,592,2.0,,,819
Romania,3340342,,67704,,3263301,,9337,115,175518,3558,26676248,1401701,19031335,Europe,6,281,1.0,,,491
Denmark,3175509,35,8281,4.0,3166343,124,885,19,544222,1419,129202569,22142875,5834950,Europe,2,705,0.0,6.0,0.7,152
Hong Kong,2883700,45,13463,1.0,2859361,3479,10876,28,379220,1770,76127725,10011143,7604299,Asia,3,565,0.0,6.0,0.1,1430
Sweden,2698535,,23703,,2671601,218,3231,8,264071,2320,19477620,1906026,10218971,Europe,4,431,1.0,,,316
Serbia,2495808,,17847,,2463549,,14412,10,288432,2063,12428148,1436279,8653016,Europe,3,485,1.0,,,1666
Iraq,2465545,,25375,,2439497,,673,21,58474,602,19544451,463523,42164965,Asia,17,1662,2.0,,,16
Singapore,2230570,,1722,,2149583,,79265,1,375293,290,24756666,4165302,5943546,Asia,3,3452,0.0,,,13336
New Zealand,2216852,,3904,,2205354,,7594,,452585,797,7768604,1586011,4898203,Australia/Oceania,2,1255,1.0,,,1550
Hungary,2195926,,48751,,2143184,,3991,13,228593,5075,11394556,1186160,9606259,Europe,4,197,1.0,,,415
Bangladesh,2037829,,29445,,1998448,,9936,,12138,175,15254399,90862,167885689,Asia,82,5702,11.0,,,59
Slovakia,1863398,21,21030,,1841110,27,1258,20,341270,3852,7405889,1356342,5460193,Europe,3,260,1.0,4.0,,230
Georgia,1825598,,16965,,1776548,,32085,,459995,4275,16920079,4263340,3968738,Asia,2,234,0.0,,,8084
Jordan,1746997,,14122,,1731007,,1868,59,169597,1371,17201885,1669945,10300869,Asia,6,729,1.0,,,181
Ireland,1703850,,8691,,1692852,240,2307,12,339399,1731,13033385,2596189,5020199,Europe,3,578,0.0,,,460
Pakistan,1577164,45,30643,,1538689,,7832,7,6873,134,30570862,133213,229488994,Asia,146,7489,8.0,0.2,,34
Norway,1479235,,5213,,1473323,,699,20,268397,946,11002430,1996315,5511370,Europe,4,1057,1.0,,,127
Finland,1462976,,8936,,1452167,97,1873,21,263364,1609,12047792,2168835,5554960,Europe,4,622,0.0,,,337
Kazakhstan,1408124,,13846,,1383020,,11258,24,73321,721,11575012,602707,19205043,Asia,14,1387,2.0,,,586
Slovenia,1329877,102,7074,,1318457,93,4346,8,639969,3404,2839240,1366311,2078034,Europe,2,294,1.0,49.0,,2091
Lithuania,1306327,51,9594,,1290461,49,6272,7,490785,3604,10381848,3900446,2661708,Europe,2,277,0.0,19.0,,2356
Bulgaria,1297037,,38219,,1255861,,2957,25,189498,5584,11061733,1616126,6844597,Europe,5,179,1.0,,,432
Morocco,1272486,,16296,,1256124,,66,3,33688,431,12989908,343896,37772756,Africa,30,2318,3.0,,,2
Croatia,1268992,,17971,,1250549,,472,10,312615,4427,5503682,1355825,4059286,Europe,3,226,1.0,,,116
Guatemala,1237335,,20177,,1216061,,1097,5,66581,1086,6948424,373892,18584039,North America,15,921,3.0,,,59
Lebanon,1232301,,10835,,1087587,,133879,74,184342,1621,4795578,717380,6684849,Asia,5,617,1.0,,,20027
Costa Rica,1204164,,9230,,860711,,334223,52,232358,1781,4659757,899158,5182354,North America,4,561,1.0,,,64493
Bolivia,1193815,,22365,,1158821,,12629,220,99546,1865,2705422,225590,11992656,South America,10,536,4.0,,,1053
Tunisia,1150962,,29331,,,,,44,95542,2435,5002248,415240,12046656,Africa,10,411,2.0,,,965
Cuba,1112622,,8530,,1104004,,88,2,98413,754,14319601,1266588,11305652,North America,10,1325,1.0,,,8
Ecuador,1057121,,36014,,1020564,,543,759,58361,1988,3082403,170173,18113361,South America,17,503,6.0,,,30
UAE,1052519,,2349,,1035507,,14663,,104398,233,199309468,19769264,10081785,Asia,10,4292,0.0,,,1454
Uruguay,1034303,,7617,,1026186,,500,18,295852,2179,6114822,1749083,3496016,South America,3,459,1.0,,,143
Panama,1031273,,8604,,1022299,,370,16,231905,1935,7532271,1693801,4446964,North America,4,517,1.0,,,83
Mongolia,1007897,,2179,,1005716,,2,192,298364,645,4030048,1193000,3378078,Asia,3,1550,1.0,,,06
Nepal,1001149,,12020,,989123,1,6,,33123,398,6014248,198979,30225582,Asia,30,2515,5.0,,,02
Belarus,994037,,7118,,985592,,1327,,105381,755,13646641,1446722,9432800,Europe,9,1325,1.0,,,141
Latvia,976095,,6244,,969510,,341,13,527951,3377,7865291,4254183,1848837,Europe,2,296,0.0,,,184
Saudi Arabia,829784,54,9617,,816938,49,3229,42,23149,268,45160066,1259874,35844909,Asia,43,3727,1.0,2.0,,90
Azerbaijan,828721,39,10129,2.0,818383,17,209,,80457,983,7532345,731281,10300205,Asia,12,1017,1.0,4.0,0.2,20
Paraguay,808401,,19878,,,,,7,110651,2721,2657506,363751,7305843,South America,9,368,3.0,,,12347
Bahrain,708768,,1552,,706013,,1203,4,397295,870,10743440,6022165,1783983,Asia,3,1149,0.0,,,674
Sri Lanka,672032,,16830,,655202,,0,,31147,780,6486117,300619,21575842,Asia,32,1282,3.0,,,
Kuwait,663456,,2570,,660237,,649,,151463,587,8455743,1930391,4380326,Asia,7,1704,1.0,,,148
Dominican Republic,660705,,4384,,644785,,11536,4,59758,397,3740928,338350,11056370,North America,17,2522,3.0,,,1043
Cyprus,650685,,1330,,644185,,5170,60,531872,1087,9640118,7879860,1223387,Asia,2,920,0.0,,,4226
Myanmar,633945,,19490,,614409,,46,,11479,353,10068417,182309,55227143,Asia,87,2834,5.0,,,08
Palestine,621008,,5404,,615445,,159,17,116173,1011,3078533,575907,5345541,Asia,9,989,2.0,,,30
Estonia,615119,,2940,,524990,,87189,3,465326,2224,3675293,2780290,1321910,Europe,2,450,0.0,,,65957
Moldova,607450,,11988,,504142,,91320,49,151364,2987,3216305,801437,4013171,Europe,7,335,1.0,,,22755
Venezuela,552051,,5854,,545907,,290,36,18863,200,3359014,114771,29266991,South America,53,4999,9.0,,,10
Egypt,515698,,24613,,442182,,48903,122,4858,232,3693367,34792,106156692,Africa,206,4313,29.0,,,461
Libya,507174,,6437,,500734,,3,,72034,914,2483676,352758,7040745,Africa,14,1094,3.0,,,04
Ethiopia,500039,,7572,,487293,,5174,1,4139,63,5493115,45468,120812698,Africa,242,15955,22.0,,,43
Qatar,494377,,686,,493225,,466,32,165903,230,4065369,1364257,2979915,Asia,6,4344,1.0,,,156
Réunion,486588,,921,,418572,,67095,10,535854,1014,1603660,1766027,908061,Africa,2,986,1.0,,,73888
Honduras,472219,,11111,,,,,105,46200,1087,1635233,159984,10221247,North America,22,920,6.0,,,32145
Armenia,446819,,8721,,435162,,2936,,150345,2934,3242901,1091164,2971966,Asia,7,341,1.0,,,988
Bosnia and Herzegovina,401636,,16279,,379084,,6273,,123606,5010,1884721,580036,3249317,Europe,8,200,2.0,,,1931
Oman,399449,,4628,,384669,,10152,2,75028,869,25000000,4695724,5323993,Asia,13,1150,0.0,,,1907
North Macedonia,346852,,9662,,337068,,122,,166651,4642,2226216,1069626,2081304,Europe,6,215,1.0,,,59
Zambia,343135,12,4057,,338854,26,224,,17624,208,3943335,202531,19470234,Africa,57,4799,5.0,0.6,,12
Kenya,342919,,5688,,337216,,15,1,6100,101,3967062,70569,56215221,Africa,164,9883,14.0,,,03
Albania,334427,,3597,,329169,,1661,,116672,1255,1941032,677173,2866374,Europe,9,797,1.0,,,579
Botswana,329727,,2801,,326868,,58,1,135070,1147,2026898,830300,2441162,Africa,7,872,1.0,,,24
Luxembourg,297757,,1133,,288991,,7633,,463528,1764,4412567,6869188,642371,Europe,2,567,0.0,,,11883
Montenegro,288552,,2805,,285130,,617,6,459514,4467,2720118,4331743,627950,Europe,2,224,0.0,,,983
Brunei,278698,,225,,243601,,34872,3,625682,505,717784,1611437,445431,Asia,2,1980,1.0,,,78288
Algeria,271469,,6881,,182799,,81789,,5986,152,230861,5091,45350148,Africa,167,6591,196.0,,,1804
Nigeria,266598,,3155,,259917,,3526,11,1230,15,5708974,26339,216746934,Africa,813,68700,38.0,,,16
Zimbabwe,264127,,5668,,257839,,620,12,17228,370,2525756,164744,15331428,Africa,58,2705,6.0,,,40
Uzbekistan,251071,,1637,,241486,,7948,23,7302,48,1377915,40077,34382084,Asia,137,21003,25.0,,,231
Mozambique,233098,,2242,,228805,,2051,11,7044,68,1371127,41437,33089461,Africa,142,14759,24.0,,,62
Martinique,229807,,1098,,,,,12,614314,2935,828928,2215870,374087,North America,2,341,0.0,,,611101
Laos,218020,1,758,,,,,,29143,101,1233207,164845,7481023,Asia,34,9869,6.0,0.1,,28018
Afghanistan,209390,20,7896,,191212,31,10282,45,5138,194,1202290,29501,40754388,Asia,195,5161,34.0,0.5,,252
Iceland,209093,,229,,,,,2,605377,663,1996384,5780036,345393,Europe,2,1508,0.0,,,385587
Kyrgyzstan,206673,,2991,,196406,,7276,131,30717,445,1907195,283460,6728271,Asia,33,2250,4.0,,,1081
Guadeloupe,201852,,1010,,,,,19,504890,2526,938039,2346306,399794,North America,2,396,0.0,,,496736
El Salvador,201785,,4230,,179410,,18145,8,30805,646,2610114,398467,6550389,North America,32,1549,3.0,,,2770
Trinidad and Tobago,189296,,4347,,184553,,396,8,134578,3090,898169,638546,1406585,North America,7,324,2.0,,,282
Maldives,185732,,311,,163687,,21734,25,343322,575,2213831,4092223,540985,Asia,3,1740,0.0,,,40175
Ghana,171172,,1462,,169697,,13,2,5284,45,2529956,78096,32395450,Africa,189,22158,13.0,,,04
Namibia,171156,,4090,,166776,,290,,64983,1553,1062663,403460,2633874,Africa,15,644,2.0,,,110
Uganda,170504,,3630,,100431,,66443,3,3520,75,3012408,62198,48432863,Africa,284,13342,16.0,,,1372
Jamaica,154196,,3502,,102393,,48301,,51655,1173,1183986,396633,2985094,North America,19,852,3.0,,,16181
Cambodia,138719,,3056,,135658,,5,,8080,178,3091420,180062,17168639,Asia,124,5618,6.0,,,03
Rwanda,133180,,1468,,131634,,78,,9792,108,6021981,442778,13600464,Africa,102,9265,2.0,,,6
Cameroon,124392,,1965,,122344,,83,13,4457,70,1751774,62762,27911548,Africa,224,14204,16.0,,,3
Malta,117477,,827,,116028,,622,4,264568,1862,2117102,4767893,444033,Europe,4,537,0.0,,,1401
Barbados,106645,,575,,106057,,13,,370266,1996,794426,2758203,288023,North America,3,501,0.0,,,45
Angola,105277,,1933,,103317,,27,,3006,55,1499795,42818,35027343,Africa,333,18121,23.0,,,08
Channel Islands,101382,,227,,101029,,126,,574523,1286,1252808,7099551,176463,Europe,2,777,0.0,,,714
French Guiana,98041,,420,,11254,,86367,6,312065,1337,651257,2072951,314169,South America,3,748,0.0,,,274906
DRC,95749,,1464,,84321,,9964,,1005,15,846704,8890,95240792,Africa,995,65055,112.0,,,105
Senegal,88921,,1971,,86947,,3,,5037,112,1146543,64946,17653671,Africa,199,8957,15.0,,,02
Malawi,88702,,2686,,85580,,436,67,4395,133,624784,30959,20180839,Africa,228,7513,32.0,,,22
Ivory Coast,88240,,834,,87375,,31,,3181,30,1680188,60564,27742298,Africa,314,33264,17.0,,,1
Suriname,82467,,1404,,,,,,138175,2352,241357,404398,596831,South America,7,425,2.0,,,52464
New Caledonia,79881,,314,,79558,,9,9,274585,1079,98964,340182,290915,Australia/Oceania,4,926,3.0,,,31
French Polynesia,77957,,649,,,,,7,274338,2284,,,284164,Australia/Oceania,4,438,,,,154164
Eswatini,74199,,1423,,72726,,50,,62625,1201,1048704,885119,1184817,Africa,16,833,1.0,,,42
Guyana,73075,,1298,,71756,,21,,92029,1635,722237,909567,794045,South America,11,612,1.0,,,26
Belize,70757,,688,,70056,,13,6,171661,1669,576016,1397453,412190,North America,6,599,1.0,,,32
Fiji,68897,,883,,66860,,1154,,75755,971,668967,735560,909466,Australia/Oceania,13,1030,1.0,,,1269
Madagascar,67865,,1422,,66433,,10,,2326,49,525461,18009,29178077,Africa,430,20519,56.0,,,03
Sudan,63809,,5013,,58460,,336,,1387,109,562941,12240,45992020,Africa,721,9175,82.0,,,7
Mauritania,63668,,997,,62441,,230,,12988,203,1009957,206030,4901981,Africa,77,4917,5.0,,,47
Cabo Verde,63244,,413,,62773,,58,23,111408,728,401622,707482,567678,Africa,9,1375,1.0,,,102
Bhutan,62620,,21,,61564,,1035,,79473,27,2303734,2923739,787941,Asia,13,37521,0.0,,,1314
Syria,57467,,3164,,54303,,0,,2968,163,146269,7553,19364809,Asia,337,6120,132.0,,,
Burundi,53631,,38,,53569,,24,,4248,3,345742,27386,12624840,Africa,235,332233,37.0,,,2
Seychelles,50665,,172,,50440,,53,,509575,1730,,,99426,Africa,2,578,,,,533
Gabon,48981,,306,,48674,,1,,21008,131,1621909,695641,2331533,Africa,48,7619,1.0,,,04
